tweet_id_customer,clean_customer,clean_amazon,intent,escalate,predicted_intent,predicted_intent_clean,predicted_escalate,escalate_reason
1366973,"Two of the items don't have a delivery date even though I order them on the 10/20, it still says preparing shipment.",I'm sorry for the wait! You'll receive a confirmation e-mail once your items ship. Keep us posted on arrival. ^SH,delivery_delay,TRUE,delivery_delay,delivery_delay,FALSE,The customer is reporting a delivery delay issue that can be resolved with standard order tracking information.
1254604,I haven’t been charged yet either,What delivery date were you given in your confirmation email? ^KM,payment_issue,TRUE,payment_issue,payment_issue,FALSE,"The message is a simple statement of non-payment with no signs of anger, confusion, or high stakes."
2697196,Merci de votre réponse aussi rapide. Je vais de ce pas sur le lien. Bonne soirée,"Je vous en prie, bonne soirée à vous aussi. ^BR",non_english,FALSE,non_english,non_english,FALSE,The message is polite and contains no urgent or problematic content requiring human intervention.
1456410,I have provided my details last night via chat. Even via email. How many times will ask me to do the same..,We wouldn't be able to access your Amazon account details on Twitter. Kindly share the details on the secure link 1/2 ^SY,customer_service_escalation,TRUE,follow_up_acknowledgment,follow_up_acknowledgment,FALSE,"The customer is expressing frustration about repeated requests for information, but the message does not contain explicit anger, safety concerns, or high financial stakes that require human intervention."
1955319,Didn't have a chance to yesterday.,"We'd like to see what's going on, please contact us again by phone or chat: ^MG",follow_up_acknowledgment,TRUE,non_english,non_english,FALSE,"The message is a brief, non-English phrase that does not indicate anger, confusion, or high stakes."
206035,"Oui, il faut bien lire sinon on paie tous les mois sans rien commander. Merci pour vos retours. Bonne soirée !","Je vous en prie, pour plus de détails sur l'abonnement Prime, vous pouvez consulter la page : . ^ASZ",non_english,FALSE,non_english,non_english,TRUE,"[one short sentence] - but wait, the user is asking me to play a decision game about AI agent vs human escalation, but then gave a. The
b. The
b. The
b"
477703,so we're back to an 8pm delivery but not out for delivery yet and customer service cannot (or will not) suggest a way forward.,Hi Matthew I am sorry to see that there is a delay with your order. Do you know what carrier its with? ^HS,delivery_delay,TRUE,delivery_delay,delivery_delay,TRUE,"The customer is experiencing delivery confusion and frustration, requiring human intervention to resolve the scheduling issue."
1551772,It’s a shame that doesn’t have a single movie of Chiranjeevi in its Telugu movies..pls acquire his all-time hits in your list,We will continue to add new content. Keeping checking ^AK (1/2),product_content_request,FALSE,general_other,general_other,FALSE,"The request is a straightforward content suggestion without anger, confusion, or high financial stakes."
2706717,The greatest thing happened to me today and it’s that delivered two brand new pairs of leggings to my door and now I’m in such a better mood #leggingsalways,"Yey! Thanks, Keri, for letting us know your order arrived safely. I hope you enjoy your leggings! ^NN",general_other,FALSE,delivery_delay,delivery_delay,FALSE,"The message is positive and celebratory, with no signs of anger, confusion, or safety concerns."
2789067,"That’s the point, there is no new status. It says out for delivery on the 19th, which it wasn’t.",I know how frustrating this can be when a package is delayed. Did you receive an email regarding the delay? ^BA,delivery_delay,FALSE,delivery_delay,delivery_delay,FALSE,"The customer is expressing frustration about a delivery status but the request is straightforward and does not involve high financial stakes, safety issues, or extreme anger requiring human intervention."
1086003,"sat in all day waiting for a few parcels 1 turns up about 11 this morning still waiting on the other one, any news on its location","I understand your concern, James. Parcels can be delivered up to 21:00. We'd ask for your patience until then. Let us know! ^SK",delivery_delay,FALSE,delivery_delay,delivery_delay,FALSE,"The customer is reporting a delivery delay and asking for status updates, which is a standard inquiry an AI can address."
2802358,im having trouble with my account can you help me please,Hi there! We've responded to your DM. Please check your messages. ^JM,account_access,FALSE,account</think>account_access,account_access,TRUE,"Intent 'account_access' involves account security or money, requires human review by policy."
